SampleID,Target [1 for A->B; -1 otherwise],Details [1 for A->B; 2 for A<-B; 3 for A-B; 4 for A|B]
train3495,0,3
train3496,-1,2
train3497,0,4
train3498,-1,2
train3499,1,1
train3500,0,3
train3501,1,1
train3502,-1,2
train3503,1,1
train3504,0,4
train3505,1,1
train3506,-1,2
train3507,0,4
train3508,-1,2
train3509,-1,2
train3510,0,4
train3511,1,1
train3512,0,3
train3513,0,3
train3514,0,3
train3515,-1,2
train3516,1,1
train3517,0,3
train3518,-1,2
train3519,0,3
train3520,1,1
train3521,0,3
train3522,1,1
train3523,0,3
train3524,0,3
train3525,0,4
train3526,-1,2
train3527,0,3
train3528,0,3
train3529,0,3
train3530,0,3
train3531,0,3
train3532,-1,2
train3533,0,3
train3534,0,3
train3535,0,4
train3536,1,1
train3537,0,3
train3538,0,4
train3539,0,3
train3540,1,1
train3541,0,3
train3542,0,3
train3543,1,1
train3544,0,4
train3545,-1,2
train3546,0,3
train3547,1,1
train3548,0,4
train3549,-1,2
train3550,1,1
train3551,0,4
train3552,0,3
train3553,0,3
train3554,0,3
train3555,0,4
train3556,0,3
train3557,0,3
train3558,-1,2
train3559,1,1
train3560,0,3
train3561,0,4
train3562,0,3
train3563,0,3
train3564,0,4
train3565,0,4
train3566,-1,2
train3567,0,3
train3568,-1,2
train3569,0,3
train3570,0,3
train3571,1,1
train3572,1,1
train3573,1,1
train3574,0,3
train3575,-1,2
train3576,-1,2
train3577,-1,2
train3578,0,4
train3579,0,4
train3580,0,3
train3581,0,4
train3582,1,1
train3583,-1,2
train3584,0,3
train3585,0,3
train3586,1,1
train3587,1,1
train3588,0,3
train3589,0,3
train3590,1,1
train3591,1,1
train3592,-1,2
train3593,0,4
train3594,-1,2
train3595,0,4
train3596,0,3
train3597,0,3
train3598,0,4
train3599,0,3
train3600,0,3
train3601,1,1
train3602,1,1
train3603,1,1
train3604,-1,2
train3605,-1,2
train3606,0,3
train3607,0,4
train3608,0,4
train3609,0,3
train3610,1,1
train3611,0,3
train3612,1,1
train3613,0,3
train3614,0,3
train3615,-1,2
train3616,1,1
train3617,0,4
train3618,1,1
train3619,0,3
train3620,0,3
train3621,1,1
train3622,0,4
train3623,0,4
train3624,0,3
train3625,1,1
train3626,0,3
train3627,0,3
train3628,-1,2
train3629,0,4
train3630,0,4
train3631,0,4
train3632,-1,2
train3633,0,3
train3634,-1,2
train3635,1,1
train3636,0,4
train3637,1,1
train3638,0,4
train3639,0,4
train3640,-1,2
train3641,-1,2
train3642,0,4
train3643,1,1
train3644,0,3
train3645,1,1
train3646,-1,2
train3647,0,3
train3648,1,1
train3649,1,1
train3650,0,4
train3651,-1,2
train3652,1,1
train3653,0,4
train3654,0,3
train3655,1,1
train3656,0,3
train3657,0,4
train3658,-1,2
train3659,1,1
train3660,0,3
train3661,-1,2
train3662,-1,2
train3663,1,1
train3664,0,4
train3665,0,3
train3666,1,1
train3667,0,3
train3668,0,4
train3669,-1,2
train3670,0,3
train3671,1,1
train3672,1,1
train3673,0,4
train3674,1,1
train3675,1,1
train3676,1,1
train3677,0,4
train3678,0,4
train3679,-1,2
train3680,1,1
train3681,-1,2
train3682,1,1
train3683,1,1
train3684,0,3
train3685,1,1
train3686,0,3
train3687,1,1
train3688,0,3
train3689,-1,2
train3690,0,3
train3691,1,1
train3692,1,1
train3693,1,1
train3694,-1,2
train3695,1,1
train3696,-1,2
train3697,0,3
train3698,-1,2
train3699,0,4
train3700,0,4
train3701,1,1
train3702,-1,2
train3703,1,1
train3704,-1,2
train3705,1,1
train3706,1,1
train3707,1,1
train3708,0,4
train3709,0,3
train3710,-1,2
train3711,-1,2
train3712,1,1
train3713,-1,2
train3714,-1,2
train3715,-1,2
train3716,1,1
train3717,1,1
train3718,1,1
train3719,-1,2
train3720,1,1
train3721,0,3
train3722,1,1
train3723,0,4
train3724,0,4
train3725,0,4
train3726,0,4
train3727,1,1
train3728,0,4
train3729,0,3
train3730,0,3
train3731,0,3
train3732,1,1
train3733,1,1
train3734,0,3
train3735,0,3
train3736,0,3
train3737,-1,2
train3738,0,3
train3739,0,3
train3740,0,4
train3741,0,4
train3742,1,1
train3743,-1,2
train3744,0,4
train3745,1,1
train3746,0,3
train3747,1,1
train3748,0,4
train3749,-1,2
train3750,-1,2
train3751,0,4
train3752,0,4
train3753,-1,2
train3754,0,3
train3755,0,4
train3756,0,4
train3757,0,4
train3758,0,4
train3759,0,4
train3760,-1,2
train3761,-1,2
train3762,1,1
train3763,-1,2
train3764,0,4
train3765,0,3
train3766,-1,2
train3767,-1,2
train3768,-1,2
train3769,0,4
train3770,1,1
train3771,0,4
train3772,0,4
train3773,0,3
train3774,-1,2
train3775,0,3
train3776,-1,2
train3777,1,1
train3778,0,3
train3779,0,4
train3780,0,3
train3781,-1,2
train3782,0,3
train3783,-1,2
train3784,1,1
train3785,-1,2
train3786,0,3
train3787,-1,2
train3788,-1,2
train3789,1,1
train3790,-1,2
train3791,0,4
train3792,0,3
train3793,0,3
train3794,0,3
train3795,-1,2
train3796,0,3
train3797,0,4
train3798,-1,2
train3799,-1,2
train3800,-1,2
train3801,-1,2
train3802,-1,2
train3803,1,1
train3804,0,3
train3805,-1,2
train3806,1,1
train3807,-1,2
train3808,1,1
train3809,0,3
train3810,1,1
train3811,0,3
train3812,0,4
train3813,0,3
train3814,-1,2
train3815,0,4
train3816,0,3
train3817,0,3
train3818,0,4
train3819,-1,2
train3820,-1,2
train3821,-1,2
train3822,0,4
train3823,-1,2
train3824,1,1
train3825,-1,2
train3826,1,1
train3827,1,1
train3828,1,1
train3829,-1,2
train3830,-1,2
train3831,0,4
train3832,0,3
train3833,-1,2
train3834,1,1
train3835,1,1
train3836,1,1
train3837,1,1
train3838,0,3
train3839,0,4
train3840,1,1
train3841,0,4
train3842,-1,2
train3843,0,4
train3844,-1,2
train3845,1,1
train3846,0,4
train3847,0,4
train3848,0,3
train3849,0,4
train3850,0,4
train3851,1,1
train3852,0,3
train3853,0,4
train3854,0,4
train3855,1,1
train3856,0,3
train3857,0,4
train3858,-1,2
train3859,1,1
train3860,1,1
train3861,0,4
train3862,-1,2
train3863,0,4
train3864,1,1
train3865,0,4
train3866,0,4
train3867,0,3
train3868,-1,2
train3869,1,1
train3870,1,1
train3871,-1,2
train3872,0,4
train3873,1,1
train3874,1,1
train3875,1,1
train3876,-1,2
train3877,0,3
train3878,-1,2
train3879,0,4
train3880,-1,2
train3881,0,4
train3882,0,3
train3883,0,4
train3884,0,4
train3885,1,1
train3886,1,1
train3887,0,4
train3888,0,4
train3889,1,1
train3890,1,1
train3891,0,4
train3892,1,1
train3893,-1,2
train3894,1,1
train3895,0,4
train3896,1,1
train3897,-1,2
train3898,0,4
train3899,1,1
train3900,-1,2
train3901,0,4
train3902,0,3
train3903,-1,2
train3904,0,4
train3905,-1,2
train3906,0,4
train3907,1,1
train3908,0,3
train3909,0,4
train3910,0,4
train3911,-1,2
train3912,1,1
train3913,1,1
train3914,0,3
train3915,0,4
train3916,-1,2
train3917,0,3
train3918,1,1
train3919,-1,2
train3920,1,1
train3921,0,4
train3922,-1,2
train3923,0,4
train3924,0,3
train3925,0,3
train3926,0,3
train3927,1,1
train3928,1,1
train3929,0,3
train3930,-1,2
train3931,-1,2
train3932,1,1
train3933,0,3
train3934,0,4
train3935,-1,2
train3936,-1,2
train3937,0,4
train3938,0,4
train3939,0,4
train3940,-1,2
train3941,-1,2
train3942,-1,2
train3943,-1,2
train3944,1,1
train3945,0,4
train3946,0,4
train3947,-1,2
train3948,1,1
train3949,-1,2
train3950,0,4
train3951,0,4
train3952,0,4
train3953,0,3
train3954,0,3
train3955,1,1
train3956,0,3
train3957,-1,2
train3958,1,1
train3959,0,4
train3960,1,1
train3961,-1,2
train3962,1,1
train3963,1,1
train3964,0,3
train3965,-1,2
train3966,1,1
train3967,-1,2
train3968,0,4
train3969,-1,2
train3970,0,3
train3971,-1,2
train3972,0,3
train3973,0,4
train3974,0,3
train3975,1,1
train3976,0,3
train3977,-1,2
train3978,-1,2
train3979,0,3
train3980,1,1
train3981,0,3
train3982,0,3
train3983,-1,2
train3984,1,1
train3985,0,3
train3986,1,1
train3987,0,3
train3988,1,1
train3989,0,3
train3990,0,3
train3991,0,4
train3992,0,4
train3993,1,1
train3994,0,4
train3995,1,1
train3996,-1,2
train3997,0,3
train3998,1,1
train3999,1,1
train4000,1,1
train4001,-1,2
train4002,1,1
train4003,0,3
train4004,1,1
train4005,0,4
train4006,1,1
train4007,1,1
train4008,-1,2
train4009,0,4
train4010,0,4
train4011,0,3
train4012,1,1
train4013,1,1
train4014,0,4
train4015,0,4
train4016,-1,2
train4017,0,3
train4018,0,4
train4019,1,1
train4020,0,4
train4021,0,4
train4022,0,3
train4023,1,1
train4024,-1,2
train4025,1,1
train4026,1,1
train4027,0,3
train4028,1,1
train4029,1,1
train4030,-1,2
train4031,-1,2
train4032,-1,2
train4033,-1,2
train4034,-1,2
train4035,0,3
train4036,0,3
train4037,0,4
train4038,0,4
train4039,-1,2
train4040,-1,2
train4041,-1,2
train4042,1,1
train4043,0,4
train4044,-1,2
train4045,0,3
train4046,0,3
train4047,-1,2
train4048,1,1
train4049,1,1
train4050,1,1
train4051,0,4
train4052,0,4
train4053,0,3
train4054,-1,2
train4055,-1,2
train4056,0,3
train4057,1,1
train4058,0,3
train4059,0,3
train4060,0,3
train4061,0,3
train4062,1,1
train4063,1,1
train4064,0,4
train4065,-1,2
train4066,0,3
train4067,1,1
train4068,0,3
train4069,0,3
train4070,0,4
train4071,0,3
train4072,0,3
train4073,0,3
train4074,0,3
train4075,1,1
train4076,-1,2
train4077,-1,2
train4078,0,4
train4079,-1,2
train4080,0,3
train4081,-1,2
train4082,1,1
train4083,0,4
train4084,-1,2
train4085,1,1
train4086,0,4
train4087,1,1
train4088,0,3
train4089,0,4
train4090,0,4
train4091,-1,2
train4092,0,3
train4093,1,1
train4094,0,4
train4095,-1,2
train4096,-1,2
train4097,0,4
train4098,1,1
train4099,1,1
train4100,0,4
train4101,-1,2
train4102,0,4
train4103,0,4
train4104,0,3
train4105,0,4
train4106,1,1
train4107,0,3
train4108,1,1
train4109,0,4
train4110,1,1
train4111,0,4
train4112,-1,2
train4113,0,3
train4114,0,3
train4115,0,4
train4116,1,1
train4117,-1,2
train4118,-1,2
train4119,0,4
train4120,1,1
train4121,0,4
train4122,1,1
train4123,0,4
train4124,-1,2
train4125,0,3
train4126,1,1
train4127,0,3
train4128,0,4
train4129,-1,2
train4130,0,4
train4131,0,4
train4132,0,4
train4133,0,4
train4134,0,3
train4135,-1,2
train4136,0,4
train4137,-1,2
train4138,0,4
train4139,0,3
train4140,1,1
train4141,-1,2
train4142,0,3
train4143,0,4
train4144,1,1
train4145,0,3
train4146,-1,2
train4147,-1,2
train4148,0,4
train4149,-1,2
train4150,0,4
train4151,0,4
train4152,-1,2
train4153,0,4
train4154,-1,2
train4155,0,3
train4156,-1,2
train4157,0,4
train4158,1,1
train4159,-1,2
train4160,1,1
train4161,-1,2
train4162,1,1
train4163,0,4
train4164,-1,2
train4165,-1,2
train4166,0,3
train4167,0,3
train4168,-1,2
train4169,-1,2
train4170,0,4
train4171,1,1
train4172,-1,2
train4173,1,1
train4174,0,3
train4175,0,3
train4176,0,4
train4177,0,3
train4178,0,4
train4179,0,3
train4180,0,3
train4181,1,1
train4182,1,1
train4183,1,1
train4184,-1,2
train4185,-1,2
train4186,1,1
train4187,1,1
train4188,0,3
train4189,1,1
train4190,1,1
train4191,0,3
train4192,-1,2
train4193,-1,2
train4194,0,3
train4195,0,3
train4196,0,4
train4197,1,1
train4198,-1,2
train4199,-1,2
train4200,1,1
train4201,0,4
train4202,1,1
train4203,1,1
train4204,-1,2
train4205,1,1
train4206,-1,2
train4207,-1,2
train4208,0,4
train4209,-1,2
train4210,1,1
train4211,0,4
train4212,-1,2
train4213,-1,2
train4214,-1,2
train4215,-1,2
train4216,0,3
train4217,0,4
train4218,0,3
train4219,-1,2
train4220,1,1
train4221,-1,2
train4222,1,1
train4223,0,3
train4224,1,1
train4225,0,4
train4226,-1,2
train4227,-1,2
train4228,-1,2
train4229,0,4
train4230,0,3
train4231,0,3
train4232,0,3
train4233,0,3
train4234,-1,2
train4235,-1,2
train4236,0,3
train4237,-1,2
train4238,1,1
train4239,0,3
train4240,1,1
train4241,0,3
train4242,0,4
train4243,1,1
train4244,1,1
train4245,1,1
train4246,0,3
train4247,0,3
train4248,0,4
train4249,1,1
train4250,0,4
train4251,0,3
train4252,0,3
train4253,-1,2
train4254,0,4
train4255,-1,2
train4256,1,1
train4257,0,4
train4258,0,4
train4259,0,4
train4260,0,4
train4261,-1,2
train4262,-1,2
train4263,1,1
train4264,-1,2
train4265,0,3
train4266,-1,2
train4267,-1,2
train4268,-1,2
train4269,1,1
train4270,-1,2
train4271,0,3
train4272,0,3
train4273,0,3
train4274,-1,2
train4275,0,3
train4276,-1,2
train4277,0,4
train4278,1,1
train4279,1,1
train4280,-1,2
train4281,0,4
train4282,-1,2
train4283,0,3
train4284,-1,2
train4285,0,4
train4286,-1,2
train4287,0,4
train4288,1,1
train4289,0,4
train4290,0,3
train4291,-1,2
train4292,0,3
train4293,1,1
train4294,0,3
train4295,1,1
train4296,0,3
train4297,1,1
train4298,0,4
train4299,0,3
train4300,-1,2
train4301,0,4
train4302,0,4
train4303,0,4
train4304,0,3
train4305,-1,2
train4306,0,3
train4307,0,3
train4308,1,1
train4309,1,1
train4310,-1,2
train4311,-1,2
train4312,0,4
train4313,-1,2
train4314,1,1
train4315,1,1
train4316,0,4
train4317,0,3
train4318,-1,2
train4319,1,1
train4320,-1,2
train4321,1,1
train4322,-1,2
train4323,1,1
train4324,1,1
train4325,0,4
train4326,0,4
train4327,0,4
train4328,1,1
train4329,-1,2
train4330,0,4
train4331,0,4
train4332,-1,2
train4333,0,4
train4334,0,4
train4335,-1,2
train4336,0,4
train4337,0,4
train4338,-1,2
train4339,0,3
train4340,0,4
train4341,0,4
train4342,0,3
train4343,-1,2
train4344,-1,2
train4345,1,1
train4346,0,4
train4347,-1,2
train4348,-1,2
train4349,-1,2
train4350,1,1
train4351,1,1
train4352,0,3
train4353,-1,2
train4354,-1,2
train4355,0,3
train4356,-1,2
train4357,0,3
train4358,0,4
train4359,0,3
train4360,0,4
train4361,-1,2
train4362,-1,2
train4363,0,3
train4364,1,1
train4365,1,1
train4366,1,1
train4367,0,4
train4368,0,3
train4369,0,3
train4370,0,3
train4371,1,1
train4372,0,3
train4373,0,4
train4374,0,4
train4375,0,3
train4376,1,1
train4377,1,1
train4378,-1,2
train4379,0,3
train4380,1,1
train4381,0,3
train4382,0,3
train4383,-1,2
train4384,0,4
train4385,0,4
train4386,-1,2
train4387,0,3
train4388,0,4
train4389,-1,2
train4390,1,1
train4391,1,1
train4392,0,3
train4393,0,3
train4394,1,1
train4395,0,3
train4396,1,1
train4397,-1,2
train4398,-1,2
train4399,0,4
train4400,1,1
train4401,0,4
train4402,-1,2
train4403,-1,2
train4404,-1,2
train4405,1,1
train4406,0,3
train4407,0,4
train4408,0,3
train4409,0,4
train4410,1,1
train4411,0,4
train4412,-1,2
train4413,1,1
train4414,0,4
train4415,0,4
train4416,1,1
train4417,0,3
train4418,0,3
train4419,-1,2
train4420,0,4
train4421,0,3
train4422,-1,2
train4423,0,4
train4424,0,4
train4425,0,4
train4426,1,1
train4427,1,1
train4428,1,1
train4429,-1,2
train4430,1,1
train4431,0,3
train4432,0,4
train4433,-1,2
train4434,-1,2
train4435,-1,2
train4436,-1,2
train4437,1,1
train4438,0,4
train4439,0,4
train4440,1,1
train4441,-1,2
train4442,1,1
train4443,-1,2
train4444,0,3
train4445,1,1
train4446,0,3
train4447,1,1
train4448,0,4
train4449,-1,2
train4450,0,4
train4451,0,4
train4452,0,4
train4453,0,3
train4454,0,4
train4455,1,1
train4456,-1,2
train4457,-1,2
train4458,-1,2
train4459,1,1
train4460,0,4
train4461,1,1
train4462,-1,2
train4463,1,1
train4464,0,4
train4465,0,4
train4466,0,4
train4467,0,3
train4468,-1,2
train4469,0,3
train4470,-1,2
train4471,-1,2
train4472,0,3
train4473,0,3
train4474,-1,2
train4475,0,3
train4476,-1,2
train4477,-1,2
train4478,-1,2
train4479,0,3
train4480,-1,2
train4481,0,3
train4482,-1,2
train4483,0,3
train4484,0,4
train4485,-1,2
train4486,1,1
train4487,0,3
train4488,0,4
train4489,-1,2
train4490,-1,2
train4491,1,1
train4492,0,3
train4493,1,1
train4494,1,1
train4495,0,3
train4496,0,4
train4497,0,3
train4498,0,4
train4499,0,3
train4500,0,3
train4501,0,4
train4502,0,4
train4503,1,1
train4504,-1,2
train4505,0,3
train4506,0,4
train4507,1,1
train4508,0,4
train4509,0,4
train4510,1,1
train4511,0,4
train4512,0,3
train4513,1,1
train4514,-1,2
train4515,1,1
train4516,0,3
train4517,-1,2
train4518,0,3
train4519,0,4
train4520,-1,2
train4521,1,1
train4522,1,1
train4523,-1,2
train4524,1,1
train4525,1,1
train4526,-1,2
train4527,-1,2
train4528,1,1
train4529,1,1
train4530,0,3
train4531,0,3
train4532,0,4
train4533,0,3
train4534,1,1
train4535,1,1
train4536,1,1
train4537,0,3
train4538,0,4
train4539,1,1
train4540,-1,2
train4541,0,3
train4542,1,1
train4543,1,1
train4544,1,1
train4545,0,3
train4546,0,3
train4547,0,3
train4548,0,4
train4549,0,3
train4550,-1,2
train4551,0,4
train4552,-1,2
train4553,-1,2
train4554,-1,2
train4555,-1,2
train4556,-1,2
train4557,0,3
train4558,0,3
train4559,-1,2
train4560,1,1
train4561,0,3
train4562,0,4
train4563,0,3
train4564,0,4
train4565,0,3
train4566,0,4
train4567,1,1
train4568,0,3
train4569,0,3
train4570,0,3
train4571,0,3
train4572,-1,2
train4573,0,4
train4574,0,3
train4575,0,3
train4576,-1,2
train4577,1,1
train4578,0,3
train4579,0,3
train4580,-1,2
train4581,0,3
train4582,0,4
train4583,0,3
train4584,0,3
train4585,-1,2
train4586,0,3
train4587,0,4
train4588,0,4
train4589,-1,2
train4590,-1,2
train4591,1,1
train4592,1,1
train4593,0,4
train4594,1,1
train4595,-1,2
train4596,-1,2
train4597,1,1
train4598,1,1
train4599,1,1
train4600,1,1
train4601,-1,2
train4602,1,1
train4603,-1,2
train4604,1,1
train4605,1,1
train4606,-1,2
train4607,-1,2
train4608,0,3
train4609,0,3
train4610,0,4
train4611,0,4
train4612,0,3
train4613,0,3
train4614,0,4
train4615,1,1
train4616,0,3
train4617,-1,2
train4618,0,3
train4619,1,1
train4620,1,1
train4621,0,3
train4622,0,3
train4623,-1,2
train4624,-1,2
train4625,0,3
train4626,1,1
train4627,1,1
train4628,1,1
train4629,-1,2
train4630,0,3
train4631,0,3
train4632,-1,2
train4633,1,1
train4634,0,4
train4635,0,4
train4636,1,1
train4637,1,1
train4638,0,4
train4639,-1,2
train4640,-1,2
train4641,1,1
train4642,1,1
train4643,0,4
train4644,0,4
train4645,0,4
train4646,0,4
train4647,1,1
train4648,0,3
train4649,0,4
train4650,1,1
train4651,0,4
train4652,0,3
train4653,1,1
train4654,1,1
train4655,1,1
train4656,1,1
train4657,-1,2
train4658,0,4
train4659,0,4
train4660,1,1
train4661,0,4
train4662,0,3
train4663,-1,2
train4664,0,4
train4665,0,3
train4666,0,3
train4667,0,4
train4668,1,1
train4669,1,1
train4670,1,1
train4671,0,4
train4672,0,3
train4673,0,3
train4674,0,3
train4675,0,3
train4676,0,3
train4677,0,4
train4678,-1,2
train4679,1,1
train4680,0,3
train4681,0,4
train4682,0,3
train4683,0,4
train4684,1,1
train4685,1,1
train4686,0,3
train4687,0,4
train4688,0,3
train4689,0,3
train4690,0,4
train4691,1,1
train4692,0,4
train4693,0,4
train4694,0,4
train4695,-1,2
train4696,0,3
train4697,-1,2
train4698,0,4
train4699,1,1
train4700,1,1
train4701,0,3
train4702,0,3
train4703,-1,2
train4704,-1,2
train4705,0,4
train4706,-1,2
train4707,1,1
train4708,1,1
train4709,0,3
train4710,0,3
train4711,0,4
train4712,1,1
train4713,0,3
train4714,-1,2
train4715,0,3
train4716,0,4
train4717,0,3
train4718,1,1
train4719,0,4
train4720,1,1
train4721,-1,2
train4722,1,1
train4723,-1,2
train4724,-1,2
train4725,1,1
train4726,-1,2
train4727,0,3
train4728,-1,2
train4729,1,1
train4730,0,4
train4731,0,4
train4732,-1,2
train4733,1,1
train4734,1,1
train4735,0,3
train4736,0,4
train4737,1,1
train4738,0,4
train4739,0,3
train4740,0,4
train4741,0,4
train4742,-1,2
train4743,0,3
train4744,1,1
train4745,1,1
train4746,0,4
train4747,-1,2
train4748,-1,2
train4749,1,1
train4750,1,1
train4751,0,3
train4752,-1,2
train4753,-1,2
train4754,1,1
train4755,0,3
train4756,-1,2
train4757,0,3
train4758,0,4
train4759,-1,2
train4760,1,1
train4761,-1,2
train4762,0,4
train4763,0,4
train4764,0,3
train4765,-1,2
train4766,1,1
train4767,-1,2
train4768,1,1
train4769,-1,2
train4770,0,3
train4771,1,1
train4772,0,4
train4773,-1,2
train4774,0,4
train4775,1,1
train4776,1,1
train4777,1,1
train4778,0,4
train4779,1,1
train4780,1,1
train4781,1,1
train4782,0,3
train4783,-1,2
train4784,0,4
train4785,0,4
train4786,0,4
train4787,1,1
train4788,0,4
train4789,-1,2
train4790,1,1
train4791,1,1
train4792,1,1
train4793,-1,2
train4794,-1,2
train4795,0,4
train4796,0,4
train4797,-1,2
train4798,1,1
train4799,1,1
train4800,0,3
train4801,-1,2
train4802,1,1
train4803,-1,2
train4804,0,3
train4805,0,3
train4806,-1,2
train4807,0,3
train4808,0,4
train4809,0,3
train4810,1,1
train4811,0,3
train4812,0,4
train4813,0,4
train4814,0,4
train4815,-1,2
train4816,0,4
train4817,0,3
train4818,0,4
train4819,1,1
train4820,1,1
train4821,1,1
train4822,0,3
train4823,1,1
train4824,0,3
train4825,0,3
train4826,0,4
train4827,0,4
train4828,1,1
train4829,1,1
train4830,1,1
train4831,1,1
train4832,0,4
train4833,-1,2
train4834,1,1
train4835,0,4
train4836,0,4
train4837,0,3
train4838,-1,2
train4839,1,1
train4840,-1,2
train4841,1,1
train4842,0,3
train4843,0,4
train4844,1,1
train4845,-1,2
train4846,1,1
train4847,1,1
train4848,-1,2
train4849,-1,2
train4850,0,4
train4851,1,1
train4852,0,4
train4853,1,1
train4854,1,1
train4855,1,1
train4856,0,3
train4857,0,3
train4858,-1,2
train4859,0,4
train4860,1,1
train4861,-1,2
train4862,-1,2
train4863,1,1
train4864,-1,2
train4865,0,3
train4866,-1,2
train4867,0,3
train4868,0,3
train4869,1,1
train4870,0,3
train4871,-1,2
train4872,-1,2
train4873,1,1
train4874,1,1
train4875,0,3
train4876,0,4
train4877,1,1
train4878,0,4
train4879,0,4
train4880,1,1
train4881,0,3
train4882,-1,2
train4883,0,4
train4884,1,1
train4885,0,3
train4886,0,4
train4887,0,4
train4888,0,3
train4889,0,3
train4890,0,4
train4891,1,1
train4892,-1,2
train4893,0,4
train4894,0,3
train4895,0,4
train4896,1,1
train4897,0,4
train4898,-1,2
train4899,-1,2
train4900,-1,2
train4901,1,1
train4902,1,1
train4903,0,3
train4904,0,4
train4905,0,4
train4906,-1,2
train4907,0,4
train4908,1,1
train4909,0,3
train4910,-1,2
train4911,1,1
train4912,-1,2
train4913,0,3
train4914,-1,2
train4915,0,4
train4916,1,1
train4917,1,1
train4918,-1,2
train4919,-1,2
train4920,1,1
train4921,0,3
train4922,0,4
train4923,0,3
train4924,0,3
train4925,1,1
train4926,1,1
train4927,1,1
train4928,-1,2
train4929,-1,2
train4930,1,1
train4931,-1,2
train4932,-1,2
train4933,0,3
train4934,1,1
train4935,-1,2
train4936,1,1
train4937,0,3
train4938,1,1
train4939,0,3
train4940,0,3
train4941,0,4
train4942,0,4
train4943,-1,2
train4944,0,4
train4945,-1,2
train4946,0,4
train4947,0,4
train4948,1,1
train4949,0,3
train4950,1,1
train4951,-1,2
train4952,-1,2
train4953,1,1
train4954,0,4
train4955,0,3
train4956,0,4
train4957,-1,2
train4958,0,3
train4959,0,4
train4960,1,1
train4961,0,4
train4962,-1,2
train4963,1,1
train4964,-1,2
train4965,1,1
train4966,0,3
train4967,0,4
train4968,0,4
train4969,1,1
train4970,1,1
train4971,0,4
train4972,0,4
train4973,1,1
train4974,0,3
train4975,-1,2
train4976,0,4
train4977,0,4
train4978,1,1
train4979,0,4
train4980,-1,2
train4981,1,1
train4982,1,1
train4983,1,1
train4984,0,4
train4985,1,1
train4986,0,4
train4987,0,4
train4988,1,1
train4989,0,3
train4990,0,4
train4991,0,3
train4992,-1,2
train4993,0,3
train4994,1,1
train4995,0,3
train4996,0,3
train4997,0,3
train4998,0,4
train4999,0,3
train5000,-1,2
train5001,1,1
train5002,0,4
train5003,1,1
train5004,0,4
train5005,1,1
train5006,0,3
train5007,0,4
train5008,0,4
train5009,1,1
train5010,0,3
train5011,-1,2
train5012,0,4
train5013,-1,2
train5014,0,4
train5015,-1,2
train5016,0,3
train5017,0,3
train5018,0,4
train5019,0,3
train5020,1,1
train5021,0,4
train5022,-1,2
train5023,0,3
train5024,1,1
train5025,1,1
train5026,-1,2
train5027,0,3
train5028,0,4
train5029,0,4
train5030,0,4
train5031,0,3
train5032,1,1
train5033,1,1
train5034,0,3
train5035,1,1
train5036,0,3
train5037,-1,2
train5038,0,3
train5039,-1,2
train5040,0,4
train5041,-1,2
train5042,-1,2
train5043,-1,2
train5044,-1,2
train5045,0,4
train5046,0,3
train5047,0,3
train5048,-1,2
train5049,-1,2
train5050,0,3
train5051,1,1
train5052,1,1
train5053,0,4
train5054,0,3
train5055,1,1
train5056,0,4
train5057,0,4
train5058,1,1
train5059,-1,2
train5060,-1,2
train5061,0,3
train5062,-1,2
train5063,0,4
train5064,0,4
train5065,0,3
train5066,1,1
train5067,1,1
train5068,0,4
train5069,1,1
train5070,0,4
train5071,1,1
train5072,0,3
train5073,-1,2
train5074,0,3
train5075,0,4
train5076,-1,2
train5077,0,3
train5078,1,1
train5079,0,3
train5080,1,1
train5081,0,3
train5082,1,1
train5083,0,3
train5084,-1,2
train5085,-1,2
train5086,-1,2
train5087,0,3
train5088,1,1
train5089,-1,2
train5090,1,1
train5091,-1,2
train5092,1,1
train5093,0,4
train5094,0,4
train5095,0,4
train5096,-1,2
train5097,1,1
train5098,0,4
train5099,0,4
train5100,1,1
train5101,1,1
train5102,-1,2
train5103,-1,2
train5104,0,3
train5105,-1,2
train5106,0,3
train5107,0,4
train5108,0,4
train5109,1,1
train5110,1,1
train5111,0,4
train5112,1,1
train5113,1,1
train5114,0,3
train5115,1,1
train5116,0,4
train5117,0,4
train5118,0,3
train5119,-1,2
train5120,1,1
train5121,-1,2
train5122,1,1
train5123,-1,2
train5124,0,4
train5125,0,4
train5126,1,1
train5127,0,3
train5128,0,3
train5129,-1,2
train5130,0,4
train5131,-1,2
train5132,0,4
train5133,-1,2
train5134,0,4
train5135,0,4
train5136,0,3
train5137,0,4
train5138,0,3
train5139,-1,2
train5140,0,3
train5141,0,4
train5142,0,3
train5143,0,3
train5144,1,1
train5145,0,3
train5146,0,3
train5147,1,1
train5148,0,4
train5149,0,3
train5150,0,3
train5151,-1,2
train5152,-1,2
train5153,1,1
train5154,1,1
train5155,0,4
train5156,0,4
train5157,-1,2
train5158,1,1
train5159,0,3
train5160,0,3
train5161,0,3
train5162,0,4
train5163,-1,2
train5164,0,3
train5165,0,4
train5166,0,3
train5167,-1,2
train5168,-1,2
train5169,-1,2
train5170,0,3
train5171,-1,2
train5172,1,1
train5173,-1,2
train5174,1,1
train5175,1,1
train5176,0,4
train5177,-1,2
train5178,1,1
train5179,0,4
train5180,0,3
train5181,0,3
train5182,0,3
train5183,-1,2
train5184,0,3
